"Neighborhood","Neighborhood_Latitude","Neighborhood_Longitude","Venue","Venue Latitude","Venue Longitude","Venue Category"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Underpass Park",43.6557636172602,-79.3548059463501,"Park"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Cluny Bistro & Boulangerie",43.6505651160747,-79.3578428702666,"French Restaurant"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Cacao 70",43.6500666945617,-79.3607226318301,"Dessert Shop"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Dark Horse Espresso Bar",43.6530805788443,-79.3570778621122,"Coffee Shop"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"The Sweet Escape Patisserie",43.6506321730261,-79.3587091312735,"Bakery"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Parliament Square Park",43.6502638833869,-79.3621950908118,"Park"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"The Yoga Lounge",43.6555152226172,-79.3649554252625,"Yoga Studio"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Caffe Furbo",43.6499698823038,-79.3588494638819,"Café"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Alumnae Theatre",43.6527555462644,-79.3647528380509,"Theater"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Berkeley Church",43.655123241745,-79.3658733041071,"Event Space"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Soulpepper Theatre",43.6507800343049,-79.3576153406892,"Theater"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"ODIN Cafe + Bar",43.6567385449281,-79.3565030526775,"Café"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"John Fluevog Shoes",43.6498958577389,-79.3594359503061,"Shoe Store"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"The Aviary",43.6536339472513,-79.3546621207204,"Pub"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"El Catrin",43.650600737117,-79.3589202494233,"Mexican Restaurant"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Mill St. Brew Pub",43.6503533184358,-79.3584893665057,"Pub"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Arta Gallery",43.6500221818821,-79.3612216847682,"Art Gallery"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"The Abnormal Beauty Company",43.649892147381,-79.3610051085219,"Cosmetics Shop"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Izumi",43.6499697935016,-79.3601532645191,"Asian Restaurant"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Vistek",43.6570464002572,-79.3596669560705,"Electronics Store"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"The Beer Store",43.657773,-79.3574632,"Beer Store"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"TD Canada Trust",43.6527797627028,-79.3563362625656,"Bank"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Savoury Grounds",43.6568209700045,-79.3589698353747,"Coffee Shop"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"Flame Shack",43.6568440754405,-79.3589172749616,"Restaurant"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"FUEL+",43.653193,-79.355867,"Coffee Shop"
"Regent Park, Harbourfront",43.6542599,-79.3606359,"GW General",43.650495,-79.357538,"Antique Shop"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Roots",43.7182137338996,-79.4638930530456,"Boutique"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Kitchen Stuff Plus (Clearance Outlet)",43.7190963682393,-79.4626748241997,"Furniture / Home Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Lac Vien Vietnamese Restaurant",43.7212587879961,-79.4684722685945,"Vietnamese Restaurant"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Orfus Road Shopping Outlets",43.7190452964347,-79.4608491503482,"Clothing Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Tim Hortons",43.7194274,-79.4679949,"Coffee Shop"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Ardene Shoes Outlet",43.7188923666449,-79.4613435837163,"Accessories Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Rinx Real Entertainment Centre",43.7178422002209,-79.462230696655,"Event Space"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"International Clothiers",43.717997,-79.46672,"Clothing Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Fairweather",43.71787829,-79.46724603,"Women's Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Imperial Carpet & Home",43.716672,-79.467415,"Carpet Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Le Château",43.71926903,-79.460276,"Clothing Store"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"SVP Sports",43.721516211471,-79.467326016447,"Sporting Goods Shop"
"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,"Party City",43.719418054713,-79.459316806156,"Miscellaneous Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Queen's Park",43.6639460989778,-79.3921795252084,"Park"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Nando's",43.66172826,-79.38639146,"Portuguese Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Mercatto",43.6603909118985,-79.3876642119271,"Italian Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"NEO COFFEE BAR",43.66013,-79.38583,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Central YMCA",43.6630833100677,-79.3850249321488,"Distribution Center"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Bar Volo",43.6654618484937,-79.3856915831566,"Beer Bar"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"T-Swirl Crepe",43.663452,-79.384125,"Creperie"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"The Yoga Sanctuary",43.6614994975976,-79.3836361335075,"Yoga Studio"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Starbucks",43.662407,-79.385943,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Tokyo Sushi",43.6658853309369,-79.3869768486816,"Sushi Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Starbucks",43.6594560535315,-79.3904112327217,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Como En Casa",43.66516,-79.384796,"Mexican Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Coach House Restaurant",43.664990598532,-79.3848141572777,"Diner"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Hart House Theatre",43.6635713421799,-79.3946163990837,"Theater"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Burrito Bandidos",43.6629621781693,-79.3839555419055,"Burrito Place"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Sushi Garden",43.6648584007325,-79.3849411288018,"Sushi Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Flock Rotisserie + Greens",43.659167,-79.389475,"Fried Chicken Joint"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Tokyo Grill",43.6650852381494,-79.3847069255479,"Japanese Restaurant"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Starbucks",43.658204,-79.388998,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Booster Juice",43.65865699,-79.38868207,"Smoothie Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"RBC Royal Bank",43.6593360384284,-79.3897732617617,"Bank"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Subway",43.6589701192026,-79.3908742539673,"Sandwich Place"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Aroma Espresso Bar",43.6589276767494,-79.3899029898598,"Café"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Tim Hortons",43.6610382,-79.3937966,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Starbucks",43.660887,-79.39372,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Hart House Gym",43.6641720244252,-79.394888398574,"Gym"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Convocation Hall",43.660828292339,-79.3952454566251,"College Auditorium"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"SUDS",43.6598803558076,-79.394712199662,"Bar"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Tim Hortons",43.6594149,-79.3912214,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Tim Hortons",43.6589062,-79.3886961,"Coffee Shop"
"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,"Understudy Café at Gerstein",43.6623080538679,-79.3940979674138,"College Cafeteria"
"Malvern, Rouge",43.8066863,-79.1943534,"Wendy’s",43.8074484193476,-79.1990555805207,"Fast Food Restaurant"
"Malvern, Rouge",43.8066863,-79.1943534,"Interprovincial Group",43.8056297,-79.2003784,"Print Shop"
"Don Mills",43.7459058,-79.352188,"Island Foods",43.745866073989,-79.3460353331794,"Caribbean Restaurant"
"Don Mills",43.7459058,-79.352188,"Baretto Caffé",43.7444564634985,-79.3464597847179,"Café"
"Don Mills",43.7459058,-79.352188,"LA Fitness",43.7476652288888,-79.3470769606523,"Gym"
"Don Mills",43.7459058,-79.352188,"Gonoe Sushi",43.7457368195992,-79.3459911991621,"Japanese Restaurant"
"Don Mills",43.7459058,-79.352188,"Bond Park",43.7453735692814,-79.3512450970756,"Baseball Field"
"Don Mills",43.7459058,-79.352188,"Elite Basketball Camps",43.748789728,-79.35422793,"Athletics & Sports"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Jawny Bakers",43.705782646822,-79.3129130447783,"Gastropub"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"East York Gymnastics",43.710654,-79.309279,"Gym / Fitness Center"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Shoppers Drug Mart",43.705933,-79.312825,"Pharmacy"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"TD Canada Trust",43.705739883756,-79.3122701346874,"Bank"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Pizza Pizza",43.7051590162018,-79.3131295557153,"Pizza Place"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Nostalgia",43.7068327719171,-79.3117831422384,"Café"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"East York Animal Clinic",43.7059205137035,-79.3121958344716,"Pet Store"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"St. Clair Ave E & O'Connor Dr",43.705232834483,-79.3132743282183,"Intersection"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Venice Pizza",43.7059205137035,-79.3139566341466,"Pizza Place"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"Merchant's Flea Market",43.7051076929654,-79.3141684102941,"Flea Market"
"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,"TKTO - Toronto Knife Throwing Organization",43.7099660731501,-79.313411118911,"Athletics & Sports"
"Garden District, Ryerson",43.6571618,-79.3789371,"UNIQLO ユニクロ",43.6559102777946,-79.3806409918135,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Blaze Pizza",43.656518,-79.380015,"Pizza Place"
"Garden District, Ryerson",43.6571618,-79.3789371,"Burrito Boyz",43.656265264409,-79.3783431837677,"Burrito Place"
"Garden District, Ryerson",43.6571618,-79.3789371,"Silver Snail Comics",43.6570313795841,-79.381403102205,"Comic Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Page One Cafe",43.657771611126,-79.3760725691681,"Café"
"Garden District, Ryerson",43.6571618,-79.3789371,"Yonge-Dundas Square",43.6560538974219,-79.3804950426439,"Plaza"
"Garden District, Ryerson",43.6571618,-79.3789371,"Five Guys",43.6571165184763,-79.3808526797649,"Burger Joint"
"Garden District, Ryerson",43.6571618,-79.3789371,"Jazz Bistro",43.6556782847384,-79.3792756551476,"Music Venue"
"Garden District, Ryerson",43.6571618,-79.3789371,"Hokkaido Ramen Santouka らーめん山頭火",43.6564352029358,-79.3775863799779,"Ramen Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ed Mirvish Theatre",43.6551015673211,-79.3797676213155,"Theater"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Black Canary Espresso Bar",43.6570292512136,-79.3813851272805,"Café"
"Garden District, Ryerson",43.6571618,-79.3789371,"Banh Mi Boys",43.659292,-79.381949,"Sandwich Place"
"Garden District, Ryerson",43.6571618,-79.3789371,"Tokyo Smoke",43.65723,-79.38087,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Oakham Café",43.6580779447675,-79.3783149799013,"Café"
"Garden District, Ryerson",43.6571618,-79.3789371,"Samsung Experience Store (Eaton Centre)",43.6556477781253,-79.3810108074576,"Electronics Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Nordstrom",43.655041,-79.3809665,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ryerson Image Centre",43.6575233716109,-79.3794595870919,"Art Gallery"
"Garden District, Ryerson",43.6571618,-79.3789371,"Cineplex Cinemas",43.6561255594861,-79.3803900566678,"Movie Theater"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Queen and Beaver Public House",43.6574722820878,-79.3835241232792,"Gastropub"
"Garden District, Ryerson",43.6571618,-79.3789371,"Chipotle Mexican Grill",43.65686,-79.38091,"Mexican Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Senator Restaurant",43.6556409145534,-79.3791988257556,"Diner"
"Garden District, Ryerson",43.6571618,-79.3789371,"Solei Tanning Salon",43.6547340823476,-79.3802482606526,"Tanning Salon"
"Garden District, Ryerson",43.6571618,-79.3789371,"Elgin And Winter Garden Theatres",43.6533937960196,-79.3785073962175,"Theater"
"Garden District, Ryerson",43.6571618,-79.3789371,"Barberian's Steak House",43.6577551292593,-79.3821774137594,"Steakhouse"
"Garden District, Ryerson",43.6571618,-79.3789371,"Crepe Delicious",43.6545364882772,-79.3808888554749,"Fast Food Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"DAVIDsTEA",43.6552187754762,-79.3809451816343,"Tea Room"
"Garden District, Ryerson",43.6571618,-79.3789371,"Balzac's Coffee",43.6578544067228,-79.3791998115516,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Hailed Coffee",43.6588329698235,-79.383683519866,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"CF Toronto Eaton Centre",43.6544469204015,-79.3809523079875,"Shopping Mall"
"Garden District, Ryerson",43.6571618,-79.3789371,"306 Yonge Street - Jordan Store",43.656494711609,-79.3810153113468,"Sporting Goods Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ryerson Athletics Centre",43.6584344394288,-79.3792961099136,"College Rec Center"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Grand Hotel & Suites Toronto",43.6564490120774,-79.3741100180102,"Hotel"
"Garden District, Ryerson",43.6571618,-79.3789371,"Kabul Express",43.6566914683547,-79.3766431365859,"Middle Eastern Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Salad King",43.6576010143267,-79.3816196301717,"Thai Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Elm Tree Restaurant",43.6573974953526,-79.3837605417151,"Modern European Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Kinka Izakaya Original",43.6605963663236,-79.3788912075452,"Japanese Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Elmwood Spa",43.6577592341367,-79.3825862052114,"Spa"
"Garden District, Ryerson",43.6571618,-79.3789371,"Bourbon St. Grill",43.6551351410162,-79.3808225262395,"Fast Food Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"LUSH",43.653557,-79.3804,"Cosmetics Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"MUJI",43.656024,-79.383284,"Miscellaneous Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Danish Pastry House",43.654574,-79.38074,"Bakery"
"Garden District, Ryerson",43.6571618,-79.3789371,"Lake Devo",43.6569936860937,-79.3768978836699,"Lake"
"Garden District, Ryerson",43.6571618,-79.3789371,"Kinton Ramen",43.6606316950067,-79.378879648976,"Ramen Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ali Baba's - Yonge north of Dundas",43.6578670583589,-79.3811759912352,"Middle Eastern Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Citrus Restaurant & Lounge @ The Grand Hotel",43.6562730457389,-79.3742206226916,"Lounge"
"Garden District, Ryerson",43.6571618,-79.3789371,"Indigo",43.6535147112116,-79.3806959105692,"Bookstore"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ethiopiques",43.6565127430416,-79.377077748846,"Ethiopian Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"EB Games",43.6552934416687,-79.3803281264246,"Video Game Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"SEPHORA",43.6535272,-79.3801543,"Cosmetics Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Magic Tailor",43.6537415822887,-79.3797452388142,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"College Park Area",43.659453,-79.383785,"Park"
"Garden District, Ryerson",43.6571618,-79.3789371,"Panago",43.6582581773534,-79.3843128255837,"Pizza Place"
"Garden District, Ryerson",43.6571618,-79.3789371,"MAC Cosmetics",43.6540554749273,-79.380713682209,"Cosmetics Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Red Lobster",43.656328,-79.383621,"Seafood Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Tangerine Café",43.6539369033082,-79.3797220236431,"Bank"
"Garden District, Ryerson",43.6571618,-79.3789371,"Jack Astor's Bar & Grill",43.6560193999206,-79.3803255137972,"Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"JOEY Eaton Centre",43.6560936540828,-79.3818779235772,"New American Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Chatime 日出茶太",43.6555416414738,-79.3846842704324,"Bubble Tea Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Roots",43.6536134170836,-79.3802440166473,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Scaddabush Italian Kitchen & Bar",43.6589202920287,-79.3828910538178,"Italian Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Trattoria Mercatto",43.654453144702,-79.3809741075674,"Italian Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Starbucks",43.6544652859495,-79.3789189438845,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"HomeSense",43.6531486,-79.3794184,"Furniture / Home Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Nordstrom Ebar",43.654648676832,-79.3805737701314,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Marshalls",43.659308,-79.3824621,"Department Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Hard Candy Fitness",43.6595561804978,-79.3824402408049,"Gym / Fitness Center"
"Garden District, Ryerson",43.6571618,-79.3789371,"Hollister Co.",43.6544796601022,-79.380913717694,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Bubble Republic Tea House 奶茶黨部",43.656707495985,-79.3841647065743,"Bubble Tea Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Booster Juice",43.65631796,-79.38276487,"Juice Bar"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ryerson Square",43.656988428886,-79.3768961729642,"Other Great Outdoors"
"Garden District, Ryerson",43.6571618,-79.3789371,"KAKA",43.6574574516448,-79.3841916998788,"Japanese Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Starbucks",43.654438,-79.380699,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Paramount Fine Foods",43.655028708476,-79.3802451301898,"Middle Eastern Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Urban Outfitters",43.654411078457,-79.3800549191774,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Bath & Body Works",43.65418247138,-79.3809478323345,"Distribution Center"
"Garden District, Ryerson",43.6571618,-79.3789371,"Fran's",43.6542647492981,-79.3791200553832,"Diner"
"Garden District, Ryerson",43.6571618,-79.3789371,"GB Hand-Pulled Noodles",43.6564342254846,-79.3837827356398,"Chinese Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Victoria's Secret PINK",43.6533574641725,-79.3806734813237,"Lingerie Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Katsuya",43.6598603575932,-79.3787880622351,"Japanese Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Donatello Restaurant",43.657489310288,-79.3836049510046,"Italian Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"GoodLife Fitness Toronto Bell Trinity Centre",43.653436,-79.382314,"Gym"
"Garden District, Ryerson",43.6571618,-79.3789371,"Smoke's Poutinerie",43.6573793523809,-79.3734545954028,"Poutine Place"
"Garden District, Ryerson",43.6571618,-79.3789371,"VISA Screening Room #TIFF",43.6534148270092,-79.378458541424,"Movie Theater"
"Garden District, Ryerson",43.6571618,-79.3789371,"The Saint James Hotel",43.659398011457,-79.3809324963371,"Hotel"
"Garden District, Ryerson",43.6571618,-79.3789371,"Vans",43.6548255097333,-79.3802407674197,"Shoe Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Starbucks",43.659509,-79.382132,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Apple Eaton Centre",43.6528318,-79.3805553,"Electronics Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Victoria's Secret",43.6532058811919,-79.3805220072917,"Lingerie Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"lululemon athletica",43.6532862,-79.3807642,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ted Baker",43.6528428456713,-79.3803249186341,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Coco Fresh Tea & Juice",43.6586598903891,-79.3820403222634,"Bubble Tea Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Fine Asian Bowl",43.6553866,-79.3803264,"Vietnamese Restaurant"
"Garden District, Ryerson",43.6571618,-79.3789371,"Reds Midtown Tavern",43.65912824947,-79.3822656556326,"Wine Bar"
"Garden District, Ryerson",43.6571618,-79.3789371,"Taiyaki NYC - Toronto",43.65558,-79.384462,"Ice Cream Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Starbucks",43.6590795605806,-79.3805619150143,"Coffee Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Shisha&Co",43.6567479206269,-79.3743372272689,"Smoke Shop"
"Garden District, Ryerson",43.6571618,-79.3789371,"Shoppers Drug Mart",43.658475,-79.384868,"Pharmacy"
"Garden District, Ryerson",43.6571618,-79.3789371,"Ali Basha Cafè",43.6566897,-79.3754589,"Hookah Bar"
"Garden District, Ryerson",43.6571618,-79.3789371,"Abercrombie & Fitch",43.6529154839275,-79.3804952509015,"Clothing Store"
"Garden District, Ryerson",43.6571618,-79.3789371,"Good Earth Coffeehouse",43.6568503317426,-79.3747186660767,"Coffee Shop"
"Glencairn",43.709577,-79.4450726,"R Bakery - Delicious Cakes, Breads",43.7074196433127,-79.4431258456326,"Bakery"
"Glencairn",43.709577,-79.4450726,"Miyako Sushi Restaurant",43.709111,-79.44393,"Japanese Restaurant"
"Glencairn",43.709577,-79.4450726,"Li Cheng Restaurant",43.708827922963,-79.4433664738352,"Asian Restaurant"
"Glencairn",43.709577,-79.4450726,"Chalker's Pub, Billiards and Bistro",43.7057467348742,-79.4423775065264,"Pub"
"Glencairn",43.709577,-79.4450726,"Domino's Pizza",43.7071704060485,-79.4426580481125,"Pizza Place"
"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.5547244,"Carolina's Cuisina",43.648863,-79.549504,"Filipino Restaurant"
