"Neighborhood","Venue Category","Venue","id","location_address","location_crossStreet","Neighborhood_Latitude","Neighborhood_Longitude","location_postalCode","location_city","location_state","location_country","location_formattedAddress","categories_name","categories_pluralName","categories_shortName"
"Manikonda","Restaurant","Dhruva Bar and Restaurant","52f8e44c498ea024d4f989e2","Manikonda","null",17.40090752,78.3868866,"null",,,,"Manikonda","Restaurant","Restaurants","Restaurant"
"Begumpet","Bar","Tease","502fdc34e4b0c5661d12ffbe","Vivanta by Taj - Begumpet","1-10-147 & 148",17.44317294,78.46050529,500016,,,,"Vivanta by Taj - Begumpet (1-10-147 & 148)","Bar","Bars","Bar"
"Banjara Hills","Lounge","Coco's Restaurant","4be8e656fbbb9c747e311e8e","Plot 217, Banjara Hills","Rd No 2",17.42393964,78.42471465,500034,,,,"Plot 217, Banjara Hills (Rd No 2)","Lounge","Lounges","Lounge"
"Hi-Tech City, Hyderabad","Nightclub","Playboy Club Hyderabad","5419c4fa498ef9757cd17b68","Novotel Hyderabad Convention Centre","null",17.47289189,78.37309011,500081,,,,"Novotel Hyderabad Convention Centre","Nightclub","Nightclubs","Nightclub"
"Cyberabad","Nightclub","The Club","4e0f5956d22d8582bdc831c1","Novotel Hyderabad Convention Centre","Near Hitec City",17.47272306,78.37307611,500081,,,,"Novotel Hyderabad Convention Centre (Near Hitec City)","Nightclub","Nightclubs","Nightclub"
"Begumpet","Lounge","On The Rocks","4df1f78352b100c2d7f4194c","Begumpet","null",17.44282223,78.47594092,"null",,,,"Begumpet","Lounge","Lounges","Lounge"
"Secunderabad Club","Lounge","Mixed Lounge","50857a76e4b03db17819a599","Secunderabad Club","Picket",17.45063168,78.49741149,"null",,,,"Secunderabad Club (Picket)","Lounge","Lounges","Lounge"
"Banjara Hills","Coffee Shop","Fume Lounge","5243e865498eb79fa245c973","8-2-602/D, Opp Hanging Gardens, Banjara Hills","Rd 10",17.41643207,78.44047821,"null",,,,"8-2-602/D, Opp Hanging Gardens, Banjara Hills (Rd 10)","Coffee Shop","Coffee Shops","Coffee Shop"
"Banjara Hills","Lounge","By The Bottle","5a202674e679bc08ee00dead","1217/A, Road No. 36, Jubilee Hills","null",17.429815,78.411395,500034,,,,"1217/A, Road No. 36, Jubilee Hills","Lounge","Lounges","Lounge"
"Surya Kiran Complex","Sports Bar","10 Lounge","4e44d2e1aeb7d02fd0f01bb8","Cellar, Surya Kiran Complex","null",17.44106547,78.49234114,"null",,,,"Cellar, Surya Kiran Complex","Sports Bar","Sports Bars","Sports Bar"
"Gachibowli","Lounge","Komatose","54cf01d2498e14b4a8f8e7ac","Holiday Inn Express Gachibowli","null",17.42400436,78.34752329,"null",,,,"Holiday Inn Express Gachibowli","Lounge","Lounges","Lounge"
"Banjara Hills","Lounge","Moshpit","52b1d10611d2ddfc94e93c5d","7th Floor, Shangrila Plaza","Banjara Hills Road No 2",17.4257989,78.41993195,"null",,,,"7th Floor, Shangrila Plaza (Banjara Hills Road No 2)","Lounge","Lounges","Lounge"
"Banjara Hills","Lounge","Touch","4e00ca0bb61c1fbe8dfb753c","road no 2 banjarahills","null",17.42425172,78.43014898,"null",,,,"road no 2 banjarahills","Lounge","Lounges","Lounge"
"Peerzadiguda","Lounge","Urban Lounge","5e46b81de7b7920007edfced","Urban Lounge Bar","null",17.406958,78.59351,500039,,,,"Urban Lounge Bar","Lounge","Lounges","Lounge"
"Banjara Hills","Lounge","Inside Out","5a898af0bed48320674db504","null","null",17.429732,78.412654,500034,,,,"Hyderabad 500034","Lounge","Lounges","Lounge"
"Kukatpally","Lounge","Mouka Mouka","57177ef9498e27df499bdc71","Kphb 3rd Phase Above Shadab Cafe","Malaysian Township Circle",17.48303994,78.40906414,500072,,,,"Kphb 3rd Phase Above Shadab Cafe (Malaysian Township Circle)","Lounge","Lounges","Lounge"
"Necklace Rd","Lounge","Ohri's","4dcfed0322718eed7a5ce984","Necklace Rd","null",17.43187972,78.46511434,"null",,,,"Necklace Rd","Lounge","Lounges","Lounge"
"Gachibowli","Lounge","Uber Deq","4e11db6caeb74afe60c08777","Jubilee Hills","Rd No. 1",17.4285876,78.41794951,"null",,,,"Jubilee Hills (Rd No. 1)","Lounge","Lounges","Lounge"
"Gachibowli","Garden","Botanical Gardens","4ed61647cc219d30cae2b544","Kondapur Gachibowli Road","null",17.45625662,78.36138661,"null",,,,"Kondapur Gachibowli Road","Garden","Gardens","Garden"
"Banjara Hills","Lake","Lotus Pond","4c26b2d45c5ca5937cb546fe","Lotus Pond Rd, Banjara Hills","null",17.41331746,78.42105365,"null",,,,"Lotus Pond Rd, Banjara Hills","Lake","Lakes","Lake"
"West Marredpally","Other Outdoors","Main Road","4be3a23a63609c74d0ee1bff","West Marredpally, Near Police Station","null",17.44883264,78.50775393,"null",,,,"West Marredpally, Near Police Station","Other Great Outdoors","Other Great Outdoors","Other Outdoors"
"Ameenpur","Lake","Ameenpur Lake","50d9115ae4b0a7a663c7c118","Ameenpur","null",17.51029703,78.33496923,"null",,,,"Ameenpur","Lake","Lakes","Lake"
"Necklace Rd","Lake","Hussain Sagar","4d8ecfdbd265236a03d91317","Necklace Rd","null",17.41414985,78.46922524,"null",,,,"Necklace Rd","Lake","Lakes","Lake"
"Tank Bund","Scenic Lookout","Necklace Road","4e089859a809495e619fa4d7","Tank Bund","null",17.41938355,78.46530663,"null",,,,"Tank Bund","Scenic Lookout","Scenic Lookouts","Scenic Lookout"
"Golconda Fort","Golf Course","Hyderabad Golf Club","4d4925a1b480a143ed2120ec","Golf Course Rd, Banjara Darwaja, Golconda Fort","null",17.39358077,78.40418797,"null",,,,"Golf Course Rd, Banjara Darwaja, Golconda Fort","Golf Course","Golf Courses","Golf Course"
"Barkatpura","Plaza","Kachiguda X Roads","4e624955b0fb188e8d9f775a","Kachiguda","null",17.38993291,78.49233976,500027,,,,"Kachiguda","Plaza","Plazas","Plaza"
"Golconda Fort","Gym","Talwalkars, Madhapur.","4ee59573b634710b8c04e344","Madhapur","null",17.43924045,78.39651172,"null",,,,"Madhapur","Gym","Gyms","Gym"
"Dr.B R Ambedkar O.U","Gym / Fitness","Cult Fitness","5c64c543178a2a002ceab619","null","null",17.42636,78.41506,500033,,,,"Hyderabad 500033","Gym / Fitness Center","Gyms or Fitness Centers","Gym / Fitness"
"Sainikpuri","Lake","Kapra Lake","4ccbb6a8efd2ef3b6892aa8b","Sainikpuri","Kapra",17.49007188,78.55208574,500094,,,,"Sainikpuri (Kapra)","Lake","Lakes","Lake"
"Yapral","Other Outdoors","Yapral Cross Roads","4dd689d2d4c05d5096d2b457","Yapral","null",17.5090611,78.55346109,"null",,,,"Yapral","Other Great Outdoors","Other Great Outdoors","Other Outdoors"
"Tolichowki","Garden","Aditiya Nagar Park","531f54d1498eec00fee7c6a8","Tolichowki","null",17.40021763,78.40970836,"null",,,,"Tolichowki","Garden","Gardens","Garden"
"Begumpet","Park","Kundanbhag Park","4d9888d7942ba0935bc5868c","Kundanbagh","null",17.43588768,78.46069061,500016,,,,"Kundanbagh","Park","Parks","Park"
"Safilguda","Lake","Lake Park","4dd272fab0fb0becaf9833bb","Safilguda","null",17.46717035,78.53398429,"null",,,,"Safilguda","Lake","Lakes","Lake"
"Opp. AP Secretariat","Park","Lumbini Park","4c62b4daeb82d13a98f405d6","Opp. AP Secretariat","null",17.40930735,78.47243883,"null",,,,"Opp. AP Secretariat","Park","Parks","Park"
"Gandhi Bhawan","Park","Owaisi Park","4da5bc1b7ccc816e172cad7b","Vijaynagar Colony","null",17.3682568,78.4009428,500001,,,,"Vijaynagar Colony","Park","Parks","Park"
"Boinpalle, Andhra Pradesh","Park","MCH Park","4f9f9c04e4b0d2f1092dbf66","Boinpalle, Andhra Pradesh","null",17.48198992,78.48443757,"null",,,,"Boinpalle, Andhra Pradesh","Park","Parks","Park"
"Malakpet","Park","Palmetum","4fd1ee1ce4b065a3535c41e3","Malakpet","null",17.37202928,78.50504635,"null",,,,"Malakpet","Park","Parks","Park"
"Hyderguda","Park","HUDA Park","54f1b567498e31ed2e58b008","Hyderguda","null",17.36209488,78.42604828,500048,,,,"Hyderguda","Park","Parks","Park"
"Banjara Hills","Park","municipality park","52b7f50b498e0e64f8412b58","Banjara Hills","null",17.427912,78.438222,"null",,,,"Banjara Hills","Park","Parks","Park"
"Keesara Villege","Park","KBR Gardens","4f5c4cabe4b01219abf642e9","Keesara Villege","null",17.517829,78.679451,"null",,,,"Keesara Villege","Park","Parks","Park"
"West Marredpally","Park","Nehru Nagar Park","504fedb5e4b0c9fad24dabb1","West Marredpally","null",17.4446838,78.50409757,"null",,,,"West Marredpally","Park","Parks","Park"
"Jahi express way","Park","Tobix garden","53442efc498e2cc37bcd3fb8","Jahi express way","null",17.36759522,78.46414101,"null",,,,"Jahi express way","Park","Parks","Park"
"Kukatpally","Park","Park","545ccd60498e556b584f00ad","Vivekanandanagar Colony","Opp. Reliance Fresh",17.493775,78.411889,500072,,,,"Vivekanandanagar Colony (Opp. Reliance Fresh)","Park","Parks","Park"
"navodaya colony","Park","Nc park lane","4f312682e4b09fde5db0e7e9","The lane opp to ganesh pan shop,navodaya colony","null",17.43281476,78.43274749,"null",,,,"The lane opp to ganesh pan shop,navodaya colony","Park","Parks","Park"
"Road No 1","Park","Jalagam Vengalrao Park","4ee9df9f5c5c0575fad1828e","Road No 1","null",17.4225259,78.44882573,"null",,,,"Road No 1","Park","Parks","Park"
"Humayunnagar","Park","Chacha Nehru Park","4ccbbc3eefd2ef3b8b98aa8b","Masab Tank","Road No. 1, Banjara Hills",17.40196924,78.44948635,500028,,,,"Masab Tank (Road No. 1, Banjara Hills)","Park","Parks","Park"
"Ashoknagar","Park","Ashok Nagar Children's Park","507ed13de4b0643e8c415eb4","Ashok Nagar Main Road","null",17.40577451,78.48974831,500020,,,,"Ashok Nagar Main Road","Park","Parks","Park"
"Vanasthalipuram","Park","swami vivekananda park","50ffa343e4b0d6931d0fd30a","Vanasthalipuram","null",17.32789614,78.56477375,"null",,,,"Vanasthalipuram","Park","Parks","Park"
"Peerzadiguda","Trail","Jogging Park","59d18672b9a5a874d8041033","null","null",17.413928,78.598697,500039,,,,"Hayathnagar 500039","Trail","Trails","Trail"
" Shameerpet","Park","Leonia Kids Park","5030b10de4b01882f96e78ca","Leonia Holistic Destination Bommaraspet, Shameerpet, Ranga Reddy District","null",17.57992659,78.6010988,"500 078",,,,"Leonia Holistic Destination Bommaraspet, Shameerpet, Ranga Reddy District","Park","Parks","Park"
"Pragatinagar","Park","Renuka Ellamma Park","5aa4b12fa6ec98131a1fd66c","Renuka Ellamma Park","Renuka Ellamma colony bachupally",17.53312,78.35938,500090,,,,"Renuka Ellamma Park (Renuka Ellamma colony bachupally)","Park","Parks","Park"
"BITS             50","Park","Shamirpet Deer Park","4ccbbdf5efd2ef3be39aaa8b","Shamirpet","Shamirpet Main Road",17.5982121,78.56477737,500078,,,,"Shamirpet (Shamirpet Main Road)","Park","Parks","Park"
"Vanasthalipuram","Park","Sachivalaya Nagar park","5150fd5ee4b02e0a4a963aba","Vanasthalipuram","null",17.326817,78.57106172,"null",,,,"Vanasthalipuram","Park","Parks","Park"
"Gachibowli","Library","Just Books","5450c62b498e0f068def2581","Gachibowli","null",17.421194,78.346388,"null",,,,"Gachibowli","Library","Libraries","Library"
"Gachibowli","Library","Just Books","4f5c9212e4b026f4c6552825","Gachibowli","null",17.44391501,78.36315901,"null",,,,"Gachibowli","Library","Libraries","Library"
"Panjagutta","Hospital","NIMS","4e1b1dba6284c069739bd2fe","Panjagutta","null",17.42168866,78.45213989,"null",,,,"Panjagutta","Hospital","Hospitals","Hospital"
"Afzal Gunj","Library","State Central Library","4db3ab870437fa536a1b403c","Afzal Gunj","null",17.37249937,78.47491818,"null",,,,"Afzal Gunj","Library","Libraries","Library"
"Himmatnagar","Library","Vijetha Reading Room","593562b0b6eedb402a709366","Ground and First Floor Of Jockey Building","Building next to Pulse Hospital",17.421771,78.504409,500025,,,,"Ground and First Floor Of Jockey Building (Building next to Pulse Hospital)","Library","Libraries","Library"
"Deloitte, Block B","Library","Communication Gym","4e25681d62e12f2b95e73a6c","Deloitte, Block B","null",17.4411355,78.3766497,"null",,,,"Deloitte, Block B","Library","Libraries","Library"
"Beside Koti Women's College","Library","Marathi Granthalaya","50eba6fde4b02d8f13f6c267","Beside Koti Women's College","null",17.384618,78.488613,"null",,,,"Beside Koti Women's College","Library","Libraries","Library"
"Jubilee Hills","Library","Justbooks CLC","51335b03e4b0cd2ac01293a2","Jubilee Hills","null",17.43011093,78.40874481,"null",,,,"Jubilee Hills","Library","Libraries","Library"
"Secunderabad Club (Picket)","Library","Children's Library","508580ffe4b09e409e1b0e66","Secunderabad Club","Picket",17.45259857,78.49689484,"null",,,,"Secunderabad Club (Picket)","Library","Libraries","Library"
"Sanjeev Reddy Nagar","Library","Saraswathi reading library","51400e79e4b0c2b51908f11b","flat #101, plot # 4b, dora legend towers, near e-seva","Vengal Rao Nagar, S.R.Nagar",17.44115257,78.44126129,500038,,,,"flat #101, plot # 4b, dora legend towers, near e-seva (Vengal Rao Nagar, S.R.Nagar)","Library","Libraries","Library"
"P & T Colony","Library","Little People Tree","4de5dff5e4cde71744b2af03","Plot No. 17,","P & T Colony, Karkhana",17.45690544,78.49847317,"null",,,,"Plot No. 17, (P & T Colony, Karkhana)","Library","Libraries","Library"
"Karkhana Main Road","Library","Just Books","50c89358e4b04b69c9972831","Karkhana Main Road","null",17.46474787,78.50341511,"null",,,,"Karkhana Main Road","Library","Libraries","Library"
"Road No. 1 (KPHB Colony)","Library","Just Books","506d8b9de4b04e903584d878","Road No. 1","KPHB Colony",17.4936396,78.3860197,"null",,,,"Road No. 1 (KPHB Colony)","Library","Libraries","Library"
"Near ICAI Bhawan, Red Hills","Library","ICAI Reading Room, Emerald House","530acaa2498eea1204f05181","Near ICAI Bhawan, Red Hills","null",17.401216,78.463858,"null",,,,"Near ICAI Bhawan, Red Hills","Library","Libraries","Library"
"Phase 1, DLF Building","Library","Cognizant Library","4f9a105de4b065a4f5568f99","Phase 1, DLF Building","null",17.44848373,78.35576917,"null",,,,"Phase 1, DLF Building","Library","Libraries","Library"
"Ankireddipalli","Library","Library","4f4a5f43e4b002a2ad85f12e","Silver Oak Bungalows","Cherlapally",17.48019989,78.61171885,501301,,,,"Silver Oak Bungalows (Cherlapally)","Library","Libraries","Library"
"Banjara Hills","Medical","Lucid Medical Diagnostics","4dbe387d0cb691071ccbbc67","Road No. 2, Banjara Hills","null",17.42342059,78.42901153,500034,,,,"Road No. 2, Banjara Hills","Medical Center","Medical Centers","Medical"
"hayathnagar","Medical","Vaidyashala","5d7c93ed921248000706c3e4","hayathnagar","null",17.330942,78.59605,501505,,,,"hayathnagar","Medical Center","Medical Centers","Medical"
"Assembly Road","Medical","Medwin Hospital","508c9ff6e4b0101d9aa9d47c","Beside Mohammed Khan Jewellers Nampally Assembly Road, Hyderabad, Andhra Pradesh, 500001","null",17.35288014,78.46737141,"null",,,,"Beside Mohammed Khan Jewellers Nampally Assembly Road, Hyderabad, Andhra Pradesh, 500001","Medical Center","Medical Centers","Medical"
"Film Nagar","Medical","Ambrosia Clinic","5b376113535d6f002c381678","India overseas bank building, road no 12","banjara hills",17.414085,78.42345,500096,,,,"India overseas bank building, road no 12 (banjara hills)","Medical Center","Medical Centers","Medical"
"Banjara Hills","Medical","Centre For Migration Medicine [CMM]","56653199498eac2dc9d2f799","#8-2-293/HH/89","MLA Colony, Road 12 Banjara Hills",17.40590858,78.43378448,"null",,,,"#8-2-293/HH/89 (MLA Colony, Road 12 Banjara Hills)","Medical Center","Medical Centers","Medical"
"Gagan Mahal","Doctor's Office","Vijaya Diagnostic Centre","4e20f12aaeb70263952b4bbf","3-6-16 & 17,","null",17.40421639,78.48004584,500029,,,,"3-6-16 & 17,","Doctor's Office","Doctor's Offices","Doctor's Office"
"Kondapur","Medical","Apollo Pharmacy","56f1261fcd10f060df8fc502","Opposite Harsha Toyota Showroom","Kondapur",17.46654594,78.36335347,"null",,,,"Opposite Harsha Toyota Showroom (Kondapur)","Medical Center","Medical Centers","Medical"
"Gagan Mahal","Dentist's Office","Dr. Ujwala Bidi's Dental Clinic","53952ea7498e97c3af4d377f","1-2-282/A/3, J.B. Aircooled Apartments","Domalguda",17.40631866,78.48509979,500029,,,,"1-2-282/A/3, J.B. Aircooled Apartments (Domalguda)","Dentist's Office","Dentist's Offices","Dentist's Office"
"Venkateshwara Colony","Medical","Institute Of Preventive Medicine","4e116e8efa769d21e9ed4427","Narayanguda Rd, Venkateshwara Colony, King Koti","null",17.39415621,78.49019513,"null",,,,"Narayanguda Rd, Venkateshwara Colony, King Koti","Medical Center","Medical Centers","Medical"
"Kondapur","Doctor's Office","Apollo Clinic","4be41f22cf200f479d7c113c","Kondapur","null",17.45967844,78.36626773,"null",,,,"Kondapur","Doctor's Office","Doctor's Offices","Doctor's Office"
"Dr.B R Ambedkar O.U","Blood Donation Center","Chiranjeevi Eye & Blood Bank","4fd31a3fe4b09c51fe1a0a28","Road No.1","Jubilee Hills",17.42819986,78.41657233,500033,,,,"Road No.1 (Jubilee Hills)","Blood Donation Center","Blood Donation Centers","Blood Donation Center"
"Malakpet","Medical","Sagar Homoeo Stores & Clinic","52cc247411d26b20229ecf63","Malakpet","null",17.37658691,78.49597931,"null",,,,"Malakpet","Medical Center","Medical Centers","Medical"
"trimulgerry (trimulgerry)","Hospital","NIMH","4e69b47518508885f6259640","trimulgerry","trimulgerry",17.47526556,78.50664854,"null",,,,"trimulgerry (trimulgerry)","Hospital","Hospitals","Hospital"
"Banjara Hills","Hospital","Femina Women's Hospital","4e5b1ae31f6e804280dbc56a","Road #12, Banjara Hills","null",17.41190519,78.43242546,500034,,,,"Road #12, Banjara Hills","Hospital","Hospitals","Hospital"
"Nanal Nagar (Nanal Nagar)","Hospital","olive hospital","4d91e88f9acaa143621ff2f0","Nanal Nagar","Nanal Nagar",17.3936164,78.4269174,"null",,,,"Nanal Nagar (Nanal Nagar)","Hospital","Hospitals","Hospital"
"Secunderabad","Hospital","Apollo Hospitals","52edd5f1498ec9c2651d0128","Secunderabad","null",17.44187456,78.50444158,"null",,,,"Secunderabad","Hospital","Hospitals","Hospital"
"Nallagandla (Serilingampally)","Hospital","CITIZENS HOSPITAL","556a8559498e977c17dcb146","Nallagandla","Serilingampally",17.47083899,78.31110778,500019,,,,"Nallagandla (Serilingampally)","Hospital","Hospitals","Hospital"
"Dr As Rao Nagar","Hospital","Thatha hospital","4ed72d6c9a52145470958d21","Anupuram","Kapra",17.47766098,78.56237269,500062,,,,"Anupuram (Kapra)","Hospital","Hospitals","Hospital"
"Pragatinagar","Hospital","Sri Sri Hollistic Hospital","58820cb1ca10705c937d945d","Nizampet Main Road","null",17.501881,78.389082,500090,,,,"Nizampet Main Road","Hospital","Hospitals","Hospital"
"Chandanagar","Hospital","Green Life Multi Speciality Clinincs And Diagnostics","5a99539dd8096e56cb15207f","null","null",17.497381,78.34043,500050,,,,"Hyderabad 500050","Hospital","Hospitals","Hospital"
"Shivarampally","School","ZPHS","548aba4c498e812f8430433c","Shivarampally","null",17.33399918,78.43390237,"null",,,,"Shivarampally","School","Schools","School"
"Smr Vinay (Miyapur)","School","Little Einsteins Play School","4ea4f121722ec75adf5bcba2","Smr Vinay","Miyapur",17.50691305,78.36420354,"null",,,,"Smr Vinay (Miyapur)","School","Schools","School"
"Tellapur","Private School","Manthan International School","5482aa30498e0381ba104649","Sy No 368/P & 369/P, Tellapur(V), Ramachandrapuram(M), Tellapur","null",17.46023445,78.29835322,502032,,,,"Sy No 368/P & 369/P, Tellapur(V), Ramachandrapuram(M), Tellapur","Private School","Private Schools","Private School"
"Kukatpally","School","Siddi Vinayaka Motor Driving School","50c6c437e4b0e9cee6f0f204","2-22-148/3/1, subhodaya colony, pipe lane road","kukatpally",17.49730583,78.40790899,500072,,,,"2-22-148/3/1, subhodaya colony, pipe lane road (kukatpally)","School","Schools","School"
"Jubilee Hills","School","Polka Dots","4eae58f6b8f765aba1b1de2f","Jubilee Hills, Hyderabad, Andhra Pradesh","null",17.42379782,78.41267947,"null",,,,"Jubilee Hills, Hyderabad, Andhra Pradesh","School","Schools","School"
"Karkhana","School","Hind Motor Driving School","4e6f439c7d8bbeefd9c79d77","null","Karkhana",17.46297144,78.50380351,"null",,,,"Karkhana","School","Schools","School"
"Secunderabad","Middle School","St. Andrews School","4f7c20e1e4b0a12a331e8dee","RBI Colony, Old Bowenpally, Secunderabad, Andhra Pradesh","null",17.44190395,78.46224823,"null",,,,"RBI Colony, Old Bowenpally, Secunderabad, Andhra Pradesh","Middle School","Middle Schools","Middle School"
"Sri Nagar Colony","High School","Sushilla Memorial School (@Aashayein)","4c14ccc4a5eb76b00d3fc2b7","Srinagar Colony Rd, Sri Nagar Colony","null",17.42864013,78.44757557,"null",,,,"Srinagar Colony Rd, Sri Nagar Colony","High School","High Schools","High School"
