Neighborhood,Neighborhood_real,Venue Category,Venue,Neighborhood_Latitude,Neighborhood_Longitude,location_address,location_formattedAddress,location_crossStreet,location_neighborhood,id,location_postalCode,location_city,location_state,location_country,Venue_Category_Real,categories_name,categories_pluralName,cluster_label
Connaught Place,Connaught Place,Hotel,The Lalit Hotel,28.63111018,77.22744966,"Barakhamba Avenue, Connaught Place","Barakhamba Avenue, Connaught Place",,"Barakhamba Avenue, Connaught Place",4bb46ce087aa95219724add1,India,New Delhi,Delhi,India,Hotel,Hotel,Hotels,13
Arjun Nagar ,Arjun Nagar ,Hotel,Country Inn & Suites By Carlson Gurgaon Sector 29,28.4620392,77.0676877,"Plot No. 360-362, Sector 29","Plot No. 360-362, Sector 29",,"Plot No. 360-362, Sector 29",4bb953173db7b713273d229a,122001,New Delhi,Delhi,India,Hotel,Hotel,Hotels,0
Airport,Aerocity,Hotel,Hotel Pride Plaza,28.55287242,77.12291625,Aerocity,Aerocity,,Aerocity,565f3abd498e385c1e2bb314,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,14
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram","Sector 16, Gurugram",Hotel,Pacific Inn Eden Royal,28.46410639,77.04969737,,India,,New Delhi,5597e725498e5df6654ca915,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,0
Aliganj ,Jangpura,Hotel,The krishna Inn,28.583587,77.249739,,India,,New Delhi,526e7b82498e589ac69d11f0,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,33
Connaught Place,A.K.Market ,Hotel,VV inn,28.64201927,77.21620941,"1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi","1015, Gali Mantola Main Bazar, Pahar Ganj, New Delhi",,A.K.Market,4fa7a5dce4b0a34ac9204307,110055,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Kwi Bin Kwan Hotel,28.51811218,77.3978653,"Zion/Sherwood Tower, O-maxe Forest","Zion/Sherwood Tower, O-maxe Forest (Sector 92)",Sector 92,Sector 92,50188fb4e4b0deb6b21a0ee1,,New Delhi,Delhi,India,Hotel,Hotel,Hotels,6
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Hotel,Airtel Guest House,28.44493135,77.05959726,,Gurgaon,,Gurgaon,4d278de83c795481e0a6c59b,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,0
Lajpat Nagar,Maharani Bagh,Hotel,Bansal Bed And Breakfast,28.570067,77.265215,,Delhi,,New Delhi,4eaee2cc5c5ce6e506a38c63,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,9
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Hotel,Casa D'or,28.49718676,77.10026766,"17, Moulsari Avenue, DLF Phase 3","17, Moulsari Avenue, DLF Phase 3 (DLF Phase 3)",DLF Phase 3,DLF Phase 3,4f03ac50e30090dfdb27252e,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,19
Karol Bagh,,Hotel,Ganga International House,28.63421016,77.16193824,,New Delhi,,New Delhi,4e6eda7752b1706317970fc6,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Hotel Green View Residency,28.55421221,77.33627588,"near Electric Sub Station, C-Block, Sector-44","near Electric Sub Station, C-Block, Sector-44",,"near Electric Sub Station, C-Block, Sector-44",508aaf09e4b02ba9b0ef52a0,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,39
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Siesta Hotel,28.57476588,77.3324621,"Ashok Marg, A-1","Ashok Marg, A-1 (Sector 27)",Sector 27,Sector 27,52861aab11d2b716ed4ea0d9,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,22
Lajpat Nagar,Jasola,Hotel,Hotel Karina,28.54161889,77.29285316,,India,,New Delhi,50c715e8e4b0d67752124897,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,9
Lajpat Nagar,Maharani Bagh,Hotel,Stallen Hospitality,28.57659146,77.26073433,A 153,A 153 (Defence Colony),Defence Colony,Defence Colony,4fc49781e4b035d6cb172744,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,33
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Hotel,Seven Seas,28.46970146,77.09549651,B/18/12,"B/18/12 (Paschim Marg, DLF City Phase 1)","Paschim Marg, DLF City Phase 1","Paschim Marg, DLF City Phase 1",4ed08b1af5b9832ada6364a9,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,7
Dwarka,,Hotel,BnB dwaraka,28.5932654,77.0401531,,India,,New Delhi,4f6d8645e4b060033268512f,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,12
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Hotel,Slumber Bed and Breakfast,28.51727348,77.20571806,Anupum Enclave,Anupum Enclave (Ignou Road),Ignou Road,Ignou Road,516bf238e4b0ea0f63ec7380,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,23
Karol Bagh,Karol Bagh,Hotel,Ramanujams,28.65194381,77.18937833,Karol Bagh,Karol Bagh,,Karol Bagh,521aa84611d2fceee561ac50,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
Civil Lines,,Hotel,Crown plaza,28.71919415,77.20884537,,India,,New Delhi,5176dea6e4b0ae385afa3414,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,20
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Hotel,Sun Villa Gurgaon,28.484546,77.084928,,India,,New Delhi,57194060498e61b0fd63b5ec,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,7
Civil Lines,,Hotel,Shamnath Vila,28.68061143,77.22497471,12 Shamnath Marg,12 Shamnath Marg,,12 Shamnath Marg,4f4fdcaae4b03cdd7a98dbb7,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,21
Chakkarpur ,Chakkarpur ,Hotel,Executive Suites,28.4518644,77.08104143,C Blcok,C Blcok,,C Blcok,52deb6e011d217ce4703cce0,122002,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,34
Karol Bagh,,Hotel,The Hospitality Home Bed & Breakfast,28.645964,77.184434,7a/2 Channa Market W.E.A. Karol Bagh,7a/2 Channa Market W.E.A. Karol Bagh,,7a/2 Channa Market W.E.A. Karol Bagh,51b7b84a498eb3038735b7bc,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
Karol Bagh,,Hotel,Hotel Gulnar,28.645625,77.183888,,India,,New Delhi,50994f56e4b0b01feeff2609,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Hotel,Aju Japanese Hotel,28.44558048,77.06300592,"A-13, Green Wood City Sector-45,","A-13, Green Wood City Sector-45,",,"A-13, Green Wood City Sector-45,",4e2671f445ddb79afc61b225,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,0
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Hotel Green View Palace,28.61724064,77.35501204,Near Indus Valley Public School,Near Indus Valley Public School,,Near Indus Valley Public School,56634fe9498e7b597648d7f9,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,16
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Hotel,Grand Hotel,28.46981747,77.04122681,Old Delhi Road,Old Delhi Road,,Old Delhi Road,4f11984ae4b0f2c2117ef58e,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,0
Connaught Place,Baroda House ,Hotel,Cp Villa Bed & Breakfast,28.635216,77.207285,7A Doctor Lane,7A Doctor Lane,,Baroda House,5c8d33ea5ba046002ccf182b,110001,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
Gurgaon Road ,Gurgaon Road ,Hotel,Hotel Prince,28.540467,77.130551,,New Delhi 110037,,Gurgaon Road,5c8a105cfb8e59002cc35b5f,110037,New Delhi,Delhi,India,Hotel,Hotel,Hotels,14
Karol Bagh,,Hotel,Hotel Regent Grand,28.64316037,77.17307566,East Patel Nagar,East Patel Nagar,,East Patel Nagar,51a05fbc498e3030abbe73c9,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
"Sector 31, 32, 38, 39, 41, 43, 45, 47, 49, 50 Gurugram",,Hotel,Imperial Park,28.4522287,77.0666304,"Sec 45, Gurgaon","Sec 45, Gurgaon",,"Sec 45, Gurgaon",4f2d630ae4b00ef1a507af6d,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,34
Karol Bagh,,Hotel,Hotel La Vista,28.64882462,77.19839634,,India,,New Delhi,505136ece4b0313e6d03453e,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
Gurgaon Road ,Mahipalpur,Hotel,"Hotel Le Seasons, Delhi",28.54726888,77.12544345,,India,,New Delhi,4ecc7851775b0e780d439336,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,14
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Hotel,Crowne Plaza Day Gurgaon,28.46834893,77.05941321,,India,,New Delhi,5075b50de4b00408325a0d07,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,0
Connaught Place,Connaught Place,Hotel,Rams Inn,28.631476,77.214317,,India,,New Delhi,4fbcfd64e4b0d3faf0ab82fe,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
Greater Noida,,Hotel,hotel c inn,28.51324654,77.47106934,,India,,New Delhi,520bb6ae11d2f389195a2ad4,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,10
Aliganj ,,Hotel,Hotel Freesia,28.56711177,77.22802853,,India,,New Delhi,564c2d4e498ef866db2e8cfc,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,33
Baroda House / paharganj,Paharganj,Hotel,Sky View Hotel,28.64220178,77.21979874,,India,,New Delhi,51692512e4b00d4e3acf3b59,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
Baroda House / paharganj,Paharganj,Hotel,Hotel Geeta Sar,28.64423752,77.21746063,,India,,New Delhi,53a98947498e3afd64d07bf3,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
Karol Bagh,Anand Parbat ,Hotel,Tomarhospitality- Hotel SPB 87 Delhi,28.64486552,77.18987703,"17A/2, West Extension Area Karol Bagh, Pillar No-98 & 99","17A/2, West Extension Area Karol Bagh, Pillar No-98 & 99 (Near Karol Bagh Metro Station)",Near Karol Bagh Metro Station,Anand Parbat,5412f45b498edd3411326ca9,110005,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,5
"Sector 2, 18, 19, 25, 26, 27, 30, 36, 44, 51, 55, 61, 62, 92, 93 Noida",,Hotel,Hanvit Guesthouse,28.58228207,77.37588127,"112A, B-block, Sector 44","112A, B-block, Sector 44",,"112A, B-block, Sector 44",51101da0e4b0b55944cedd48,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,16
"Sector 49, Fatehpur",Gurgaon South City II ,Hotel,Hotel Formule 1,28.42170287,77.05288499,"Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50","Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50",,"Good Earth City Centre, Opposite Malibu Commercial Complex, Sector 50",545dad1e498edba916d5f7df,122018,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,18
Gurgaon Road ,,Hotel,Hotel Lohmod,28.55088348,77.13026701,,India,,New Delhi,4f32c212e4b0ef2eb7dd0f98,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,14
Saket,Saket,Hotel,Tree Of Life,28.52602561,77.20582474,,India,,New Delhi,4eb9e58ab8f765de71e57bb1,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,23
Aliganj ,Andrewsganj ,Hotel,National Insurance Company Guest House Asiad Village,28.546915,77.2167,,New Delhi 110049,,Andrewsganj,59d77fd0dab4b158b78d000e,110049,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,2
Aliganj ,Aliganj ,Hotel,Red Maple,28.573635,77.219617,49 Amrit Nagar,49 Amrit Nagar,,Delhi High Court,4f1e23eae4b0d98f4c6f9875,110003,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,33
Greater Kailash,Chittaranjan Park,Hotel,Ananda Bed & Breakfast,28.53605892,77.24603553,,India,,New Delhi,52dbd6c011d2ade68afd0e66,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,15
Baroda House / paharganj,Paharganj,Hotel,metropolis guest house,28.640013,77.21014,,India,,New Delhi,56ff5376cd1037ef015ece63,,New Delhi,Delhi,India,B & B,Bed & Breakfast,Bed & Breakfasts,13
Connaught Place,Connaught Place,Health,Apollo Pharmacy,28.6348371,77.21761488,,India,,New Delhi,4f05f77d29c22bbeff554636,,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,13
"Sector 26, 26A, 27, 28, 29, 30 Gurugram",,Health,Deepanshi Medicos,28.453635,77.051526,Sector 31,Sector 31,,Sector 31,56b76bfb498e2be2b19fd352,,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,0
Arjun Nagar ,Arjun Nagar ,Health,Sewati Medicose,28.449514,77.05705,,Gurugram 122001,,Gurugram 122001,5c51b6cfc58ed7002cec5466,122001,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,0
Anand Vihar ,,Health,Bonton,28.63486142,77.28466156,,India,,New Delhi,521876ff498e58df21e8cbf5,,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,1
"Sector 11, 12, 14, 15, 16, 24, 25 Gurugram",,Health,Religare Wellness,28.48047638,77.08809662,,India,,New Delhi,5018db4ae4b08659764cf942,,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,7
Rajouri Garden,Dabri ,Health,Aggarwal medicos,28.60139837,77.08380107,Nasirpur,"Nasirpur (Pocket 6, Dwarka)","Pocket 6, Dwarka",Dabri,4ff45a0ee4b0aeae9d3e94ef,110045,New Delhi,Delhi,India,Pharmacy,Pharmacy,Pharmacies,3
